diary,count,mean,std,min,25%,50%,75%,max
1,422.0,0.8703862559241706,0.04185445997922892,0.691,0.84625,0.874,0.898,1.0
2,48.0,0.8755416666666666,0.04260803956369025,0.763,0.849,0.876,0.8995,0.964
3,212.0,0.8769669811320755,0.06851971622257634,0.599,0.846,0.877,0.92425,1.0
4,3114.0,0.8317909441233141,0.08769977864275304,0.0,0.79,0.841,0.883,1.0
5,1138.0,0.8318365553602812,0.0755956795828259,0.392,0.791,0.8394999999999999,0.88275,1.0
6,250.0,0.8384640000000001,0.0665199844960099,0.606,0.794,0.848,0.885,0.97
7,234.0,0.8228974358974359,0.07160992146180764,0.64,0.78325,0.828,0.87275,1.0
8,154.0,0.8083831168831169,0.06930138763023758,0.595,0.76025,0.816,0.85675,0.947
9,223.0,0.8724798206278026,0.07060503195172861,0.576,0.834,0.876,0.912,1.0
10,63.0,0.8321269841269842,0.07670018969221866,0.572,0.774,0.844,0.8915,0.959
11,238.0,0.8831638655462184,0.06708696444538696,0.642,0.8454999999999999,0.889,0.9317500000000001,1.0
12,143.0,0.8965104895104896,0.06485247257471735,0.644,0.8594999999999999,0.901,0.9404999999999999,1.0
13,100.0,0.89282,0.05074682256062935,0.744,0.86325,0.895,0.9265000000000001,1.0
14,75.0,0.8803866666666667,0.056946606887821126,0.733,0.853,0.884,0.92,1.0
15,159.0,0.8702075471698113,0.06759026552183853,0.571,0.835,0.874,0.917,1.0
16,160.0,0.8645687499999999,0.0710652655892486,0.602,0.8245,0.869,0.917,1.0
17,681.0,0.8568942731277535,0.06520420849446758,0.595,0.818,0.863,0.903,1.0
18,24.0,0.8974583333333334,0.05004865386424683,0.785,0.8645,0.904,0.9185000000000001,1.0
19,166.0,0.8622891566265061,0.06822530058038888,0.649,0.826,0.8654999999999999,0.90275,1.0
20,6094.0,0.8578505086970791,0.0799228033227102,0.403,0.808,0.8565,0.907,1.0
21,900.0,0.9084255555555555,0.07533964630279519,0.504,0.87075,0.919,0.959,1.0
22,143.0,0.8086363636363637,0.07898364471941398,0.499,0.762,0.816,0.866,1.0
23,19.0,0.8764736842105264,0.0637611588674246,0.734,0.845,0.884,0.9095,1.0
24,1707.0,0.8980755711775045,0.0685975198186814,0.26,0.865,0.902,0.9365000000000001,1.0
25,72.0,0.8575833333333333,0.0662308702118135,0.645,0.82175,0.868,0.90225,1.0
26,1221.0,0.8394766584766586,0.08283154238418541,0.516,0.79,0.846,0.895,1.0
27,110.0,0.8292181818181815,0.10226861391042365,0.426,0.7785,0.8465,0.89125,1.0
28,397.0,0.8843274559193954,0.08381354713686101,0.562,0.837,0.887,0.943,1.0
29,140.0,0.8976571428571429,0.07801095398351628,0.631,0.8534999999999999,0.9095,0.95175,1.0
30,490.0,0.8789306122448981,0.06466271846383811,0.646,0.8374999999999999,0.89,0.927,1.0
31,491.0,0.8747983706720976,0.0663445403794178,0.519,0.834,0.886,0.922,1.0
32,4328.0,0.8918103049907579,0.0680300937711811,0.534,0.855,0.896,0.936,1.0
33,4351.0,0.8917368421052632,0.06813490958690863,0.534,0.855,0.896,0.936,1.0
34,52.0,0.8848076923076924,0.07836616878638644,0.706,0.83675,0.8915,0.9432499999999999,1.0
35,167.0,0.8701976047904191,0.08479019035106938,0.572,0.8214999999999999,0.878,0.928,1.0
36,249.0,0.8900200803212852,0.07305363969422857,0.596,0.855,0.895,0.943,1.0
37,539.0,0.9101205936920223,0.08061645806639632,0.579,0.864,0.92,1.0,1.0
38,845.0,0.8953278106508876,0.07664253670001044,0.534,0.85,0.903,0.948,1.0
39,741.0,0.8999095816464238,0.06318220051661734,0.569,0.865,0.902,0.939,1.0
40,1359.0,0.8855025754231052,0.055965430505129345,0.64,0.856,0.89,0.921,1.0
41,376.0,0.8762473404255319,0.05335721125497285,0.656,0.844,0.8775,0.911,1.0
42,23.0,0.8779130434782607,0.08636914066087509,0.706,0.823,0.886,0.9385,1.0
43,625.0,0.8822288,0.04296107886722467,0.729,0.853,0.884,0.914,1.0
44,664.0,0.8842243975903614,0.043468085495569395,0.729,0.855,0.886,0.916,1.0
45,39.0,0.9162051282051283,0.039288527512011416,0.828,0.8935,0.915,0.945,1.0
46,268.0,0.8895298507462687,0.04582063880831006,0.744,0.857,0.8955,0.92,1.0
47,261.0,0.8794559386973181,0.039330588179167944,0.729,0.856,0.88,0.908,0.976
48,96.0,0.8693854166666665,0.040625729413154885,0.779,0.84375,0.866,0.896,0.962
49,87.0,0.8816781609195402,0.044197099308395,0.763,0.8574999999999999,0.882,0.909,0.987
50,42.0,0.8393333333333333,0.07316658795854795,0.63,0.80025,0.8434999999999999,0.89875,1.0
51,2021.0,0.8829079663532904,0.06710288716745925,0.519,0.849,0.891,0.926,1.0
52,206.0,0.8534466019417476,0.06474749877912638,0.648,0.819,0.8654999999999999,0.8985000000000001,0.975
53,38.0,0.8872894736842106,0.054358125723280214,0.768,0.853,0.89,0.92725,1.0
54,98.0,0.863734693877551,0.08143880771771307,0.608,0.8222499999999999,0.8685,0.90725,1.0
55,186.0,0.8717526881720431,0.07673438299273157,0.521,0.8322499999999999,0.8765000000000001,0.9245000000000001,1.0
56,348.0,0.876919540229885,0.08189199584253216,0.462,0.83075,0.88,0.93025,1.0
57,294.0,0.8755816326530612,0.08225639472877387,0.238,0.84,0.883,0.92125,1.0
58,23.0,0.8957826086956521,0.12829403604140946,0.566,0.859,0.929,1.0,1.0
59,89.0,0.8946629213483146,0.0688651422280969,0.726,0.855,0.907,0.94,1.0
60,209.0,0.8938755980861244,0.044513436041517904,0.73,0.868,0.9,0.925,1.0
61,128.0,0.8812265625,0.04537737041269433,0.738,0.86175,0.889,0.9117500000000001,0.959
62,315.0,0.8847999999999999,0.04490983181476606,0.723,0.857,0.887,0.915,1.0
63,171.0,0.879280701754386,0.0673947338803171,0.657,0.849,0.881,0.93,1.0
64,274.0,0.8921386861313869,0.04948032982939451,0.676,0.86825,0.896,0.9207500000000001,1.0
65,111.0,0.8234864864864867,0.0855960773171788,0.618,0.772,0.825,0.881,1.0
66,83.0,0.8611566265060242,0.11550319200823202,0.458,0.795,0.897,0.9384999999999999,1.0
67,44.0,0.8498863636363637,0.060220994526976906,0.66,0.8017500000000001,0.868,0.89625,0.945
68,234.0,0.8915641025641025,0.05910946920435284,0.678,0.85725,0.897,0.932,1.0
69,1235.0,0.9123773279352227,0.08496950623378244,0.531,0.862,0.922,1.0,1.0
70,1093.0,0.9055663311985361,0.06779731996407715,0.484,0.87,0.911,0.95,1.0
