diary,count,mean,std,min,25%,50%,75%,max
1,422.0,0.07833649289099526,0.03507562979118362,0.0,0.055,0.075,0.098,0.272
2,48.0,0.07104166666666667,0.03546767082511714,0.0,0.0485,0.072,0.08925,0.146
3,212.0,0.05710377358490567,0.045721064295242794,0.0,0.022,0.05,0.08425,0.216
4,3114.0,0.09773281952472705,0.07188719816370646,0.0,0.055,0.087,0.129,1.0
5,1138.0,0.09894112478031634,0.0641200985025689,0.0,0.055,0.0875,0.134,0.448
6,250.0,0.09472399999999999,0.053787024457577125,0.0,0.055,0.089,0.12675,0.267
7,234.0,0.10165811965811965,0.06896514793043777,0.0,0.05425,0.0945,0.13375,0.344
8,154.0,0.10625974025974026,0.06769190152417227,0.0,0.06325,0.091,0.1415,0.365
9,223.0,0.06262331838565022,0.05363290130556268,0.0,0.031,0.056,0.0835,0.4
10,63.0,0.08874603174603174,0.05091579647587937,0.0,0.0525,0.084,0.1175,0.231
11,238.0,0.07976890756302521,0.05240681059856421,0.0,0.047,0.073,0.11375,0.294
12,143.0,0.05693706293706293,0.0500066498089577,0.0,0.0215,0.046,0.079,0.245
13,100.0,0.05491000000000001,0.044316377482047344,0.0,0.023,0.0455,0.07975,0.222
14,75.0,0.07686666666666668,0.048852047270534354,0.0,0.0445,0.075,0.1,0.262
15,159.0,0.07494968553459119,0.05016766808200837,0.0,0.039,0.068,0.1015,0.313
16,160.0,0.0848125,0.060490675771939534,0.0,0.043,0.072,0.12225,0.34
17,681.0,0.07618061674008811,0.04814290589944277,0.0,0.042,0.07,0.105,0.327
18,24.0,0.063875,0.04922999483347878,0.0,0.0305,0.0655,0.092,0.191
19,166.0,0.07109638554216867,0.04856264044986205,0.0,0.042,0.065,0.08975,0.34
20,6094.0,0.004715950114867083,0.015486684769874722,0.0,0.0,0.0,0.0,0.273
21,900.0,0.04523888888888889,0.05540671382127462,0.0,0.0,0.032,0.066,0.403
22,143.0,0.10387412587412587,0.06480239379303813,0.0,0.059,0.088,0.139,0.433
23,19.0,0.0726842105263158,0.04580035496172364,0.0,0.0445,0.065,0.1005,0.164
24,1707.0,0.06197246631517282,0.05442189896267748,0.0,0.027,0.056,0.0845,0.74
25,72.0,0.08925,0.048318995768876195,0.0,0.05725,0.0835,0.11675,0.224
26,1221.0,0.10301801801801802,0.07537596261845478,0.0,0.049,0.093,0.145,0.418
27,110.0,0.09174545454545455,0.07343379173200928,0.0,0.046,0.0795,0.12025,0.39
28,397.0,0.005811083123425692,0.02267651475202106,0.0,0.0,0.0,0.0,0.274
29,140.0,0.005592857142857143,0.02078041981994382,0.0,0.0,0.0,0.0,0.184
30,490.0,0.06531632653061226,0.04914820393125481,0.0,0.02825,0.057,0.09075,0.252
31,491.0,0.06742158859470468,0.04761940376163979,0.0,0.032,0.06,0.0945,0.252
32,4328.0,0.05218900184842884,0.049675557950147074,0.0,0.011,0.045,0.076,0.466
33,4351.0,0.052150769937945304,0.04970107215689607,0.0,0.01,0.045,0.076,0.466
34,52.0,0.05201923076923076,0.05956492269014505,0.0,0.0,0.025500000000000002,0.094,0.249
35,167.0,0.04758083832335329,0.0580252675893102,0.0,0.0,0.037,0.07,0.328
36,249.0,0.04198393574297189,0.044485224791722115,0.0,0.0,0.034,0.064,0.242
37,539.0,0.042276437847866416,0.0572031826843627,0.0,0.0,0.018,0.068,0.299
38,845.0,0.05233136094674556,0.059716026441014335,0.0,0.0,0.041,0.078,0.466
39,741.0,0.047832658569500676,0.042760193184382365,0.0,0.014,0.041,0.07,0.304
40,1359.0,0.05776747608535688,0.04293117520462148,0.0,0.03,0.052,0.077,0.342
41,376.0,0.06332978723404256,0.04116150649601247,0.0,0.035,0.06,0.088,0.27
42,23.0,0.04495652173913044,0.055016095381153166,0.0,0.0,0.03,0.067,0.233
43,625.0,0.08589440000000001,0.03677245150576162,0.0,0.06,0.084,0.11,0.22
44,664.0,0.08416265060240964,0.037071014027784226,0.0,0.059,0.082,0.109,0.22
45,39.0,0.056410256410256404,0.030539635978871743,0.0,0.0395,0.065,0.0745,0.132
46,268.0,0.07903731343283583,0.039646831672520595,0.0,0.05175,0.0765,0.105,0.22
47,261.0,0.08849808429118773,0.03317895817452251,0.0,0.065,0.086,0.11,0.203
48,96.0,0.09795833333333333,0.033955052849835,0.021,0.07275,0.099,0.12075,0.189
49,87.0,0.07378160919540229,0.03356507919797637,0.0,0.0525,0.071,0.0955,0.17
50,42.0,0.0886904761904762,0.05373852144944621,0.0,0.05325,0.084,0.13125,0.232
51,2021.0,0.06649579416130627,0.04938654972948963,0.0,0.034,0.06,0.089,0.481
52,206.0,0.0802378640776699,0.048539415447664255,0.0,0.048,0.072,0.10575,0.24
53,38.0,0.059710526315789464,0.040357127301628264,0.0,0.02375,0.0655,0.0935,0.158
54,98.0,0.08373469387755102,0.07040055514958132,0.0,0.04025,0.075,0.1125,0.392
55,186.0,0.07191935483870968,0.06411323556580695,0.0,0.02925,0.0625,0.10175,0.479
56,348.0,0.06794540229885057,0.06501575873355137,0.0,0.01825,0.058,0.10225,0.47
57,294.0,0.07302380952380953,0.06894284206592748,0.0,0.03125,0.0655,0.097,0.762
58,23.0,0.025043478260869563,0.05022990621393662,0.0,0.0,0.0,0.0315,0.174
59,89.0,0.06546067415730338,0.06070084172319181,0.0,0.023,0.052,0.088,0.27
60,209.0,0.057569377990430624,0.02992950403248398,0.0,0.04,0.054,0.071,0.165
61,128.0,0.0639140625,0.02769605200659416,0.0,0.048,0.062,0.078,0.22
62,315.0,0.057469841269841275,0.03001838414900775,0.0,0.037,0.054,0.0775,0.158
63,171.0,0.06707017543859649,0.04665890986691652,0.0,0.0325,0.064,0.093,0.229
64,274.0,0.07094525547445256,0.04054645862559825,0.0,0.045,0.0655,0.096,0.324
65,111.0,0.11081081081081082,0.08046405335343156,0.0,0.0485,0.097,0.167,0.336
66,83.0,0.08557831325301204,0.09400753997807805,0.0,0.0,0.061,0.13,0.485
67,44.0,0.08024999999999999,0.05120189177101011,0.0,0.0445,0.0725,0.09975,0.22
68,234.0,0.06500427350427351,0.04804115705682317,0.0,0.032,0.058499999999999996,0.08875,0.24
69,1235.0,0.0386080971659919,0.06128431178673459,0.0,0.0,0.0,0.064,0.469
70,1093.0,0.0551555352241537,0.05749431855202571,0.0,0.014,0.043,0.078,0.501
71,384.0,0.1001640625,0.0740526709747337,0.0,0.048,0.0825,0.13825,0.392
72,382.0,0.08042931937172774,0.060701532876022035,0.0,0.041,0.071,0.11175,0.412
73,106.0,0.06948113207547171,0.04731298646492323,0.0,0.039,0.0625,0.09275,0.252
74,220.0,0.05627727272727273,0.03895589863153102,0.0,0.03,0.051,0.0805,0.216
75,180.0,0.05260555555555555,0.0420141632440473,0.0,0.025,0.0445,0.072,0.249
76,86.0,0.07404651162790699,0.06052649531194517,0.0,0.03025,0.069,0.1,0.333
77,226.0,0.07513716814159292,0.05906210470673544,0.0,0.03625,0.0655,0.10149999999999999,0.439
78,16.0,0.07350000000000001,0.02872397372695266,0.036,0.050749999999999997,0.0695,0.09325,0.129
79,53.0,0.0900566037735849,0.05842299833454012,0.0,0.057,0.091,0.114,0.244
80,249.0,0.10277911646586345,0.05973121419506069,0.0,0.067,0.095,0.135,0.5
81,63.0,0.08438095238095235,0.04223529657167919,0.0,0.06,0.082,0.11,0.211
82,69.0,0.08192753623188406,0.05626965508643591,0.0,0.046,0.068,0.098,0.262
83,164.0,0.0018597560975609755,0.007224606211377322,0.0,0.0,0.0,0.0,0.047
84,135.0,0.0014,0.0063905247022564005,0.0,0.0,0.0,0.0,0.043
85,33.0,0.07796969696969697,0.04504892121938441,0.0,0.052,0.071,0.087,0.223
86,27.0,0.11092592592592594,0.05202434779536177,0.025,0.077,0.097,0.1385,0.227
87,81.0,0.09223456790123456,0.055383271753512875,0.0,0.053,0.087,0.117,0.324
88,192.0,0.08586979166666668,0.048664023112625084,0.0,0.05875,0.0815,0.108,0.293
89,35.0,0.0706,0.0549578448074736,0.0,0.038,0.064,0.0815,0.198
90,98.0,0.07139795918367346,0.050611668879024,0.0,0.0385,0.062,0.09375,0.243
91,32.0,0.075,0.05669727193755701,0.0,0.037,0.07200000000000001,0.101,0.213
92,463.0,0.07949244060475164,0.054269324436245624,0.0,0.0415,0.07,0.104,0.322
93,65.0,0.0845076923076923,0.0654558828231187,0.0,0.045,0.076,0.106,0.292
94,89.0,0.095561797752809,0.0710916430097256,0.0,0.041,0.087,0.133,0.343
