|raw_number|content|negative|neutral|positive|compound
0|#001 (09/15/63)|I was in a state of anxiety throughout the dream. I saw a man lying on the floor, shot. I was confined to an institution which I had never seen in real life. I left without permission. Someone tried to persuade a man with a model T car not to go, but he insisted. |0.063|0.91|0.027|-0.2617
1|#002 (09/16/63)|I was walking through mud in a cave with several others. The tunnel went up and down hill. |0.0|1.0|0.0|0.0
2|#003 (09/18/63)|I sat at a restaurant table with 3 girls, about nineteen. One sitting next to me had long hair. The girl next to her began combing the hair of the girl next to me. The hair excited me, and I had an orgasm. |0.0|0.946|0.054|0.34
3|#004 (09/19/63)|I was anxious because someone held up a printing form with type locked in it and it looked as though it would come loose and the type would fall. |0.137|0.863|0.0|-0.5106
4|#005 (09/20/63)|I was in a strange building with a group of nuns. |0.153|0.847|0.0|-0.2023
5|#006 (09/21/63)|I was flying a plane that I had made. |0.0|1.0|0.0|0.0
6|#007 (09/23/63)|I was driving a car. My mother and sister were passengers. We drove through back roads. At a fork in the road, a child about a year old pointed at one of the forks, and I went that way. |0.0|1.0|0.0|0.0
7|#008 (09/25/63)|I was in a house I've never seen in real life. Pigeons came in. They appeared to be injured, and one fell and appeared to have died. Then I saw through the doorway a woman who was a stranger. Her back was towards me and I noted her shapely hips. |0.116|0.884|0.0|-0.743
8|#009 (09/26/63)|I left an institution without permission. An attendant saw me, but did not say anything. Later, a boy was helping me carry something across the grounds to another building. There were big spiders around us. When we reached the place, I saw a red building in the distance which I knew to be for female patients. It was like a building that I have seen frequently in previous dreams. I was employed at a modern printing plant. I worked with some women. I went outside and a girl about eight came and hugged me around my neck. I felt a paternal attachment to her, and I wished that she were my daughter. I suddenly remembered my job and I hurried back inside the plant. |0.0|0.871|0.129|0.9481
9|#010 (09/28/63)|I found a red trousers at a psychotherapy group session. Later a man approached me and accused me of stealing it. I had put it on, and he had seen me wearing it. The incident took place in the men's room. I told him that I had found it. |0.112|0.888|0.0|-0.7096
10|#011 (09/29/63)|I was with my mother. We had to go upstairs through a staircase and then we had to crawl up a shaft. We received my sister's newborn baby from some nuns. |0.0|1.0|0.0|0.0
11|#012 (10/01/63)|A patient on the ward was in this dream. I was trying to decide what to wear. This patient said that my clothing was not suitable, and that he would get me some clothing. The patient's name is Holland. Later there was a blue robe on a chair, and a woman said she didn't want it because it brought back a bad memory.|0.071|0.896|0.034|-0.3553
12|#013 (10/02/63)|I was in an institution. There were hills and a smokestack in the distance. A steam shovel was dumping coal into the smokestack. A patient on the ward named Kabot appeared in the dream and said they were filling the smokestack. He had a motorcycle which he drove away in saying that he tended the grounds. I was wishing he had taken me with him, but I guessed that it was against the rules anyway. Later I was among a crowd, and an attractive blond had fallen and hurt her ankle. Her back was to me and her dress was up above her knees as she sat on the walk. When she saw me, she came up to me and begged me to do something. I said that I am not a doctor, but I suggest soaking her ankle in Epson salts. She went to a drug counter. |0.06|0.897|0.043|-0.5719
13|#014 (10/05/63)|I walked through underground sewers until I came to an exit to the street. Then I went into a restaurant where there was a group of teenage girls playing. |0.0|0.94|0.06|0.2023
14|#015 (10/06/63)|I had gotten into trouble with the police, and had just been released. I told my mother I was going to church. She said not to take so long like I did before I got into trouble. I recalled that after church I would stroll around the area hoping to see some children. |0.09|0.817|0.093|0.046
15|#016 (10/07/63)|I was in trouble and had to go to trial. My mother sent for a lawyer. I put on a short-sleeved, transparent shirt, but I was afraid it showed my body too much. Just then the lawyer came. |0.048|0.952|0.0|-0.2144
16|#017 (10/08/63)|Trucks were sinking in the mud. I tried to help the drivers. |0.0|0.803|0.197|0.4019
17|#018 (10/09/63)|"I was in a big building. A truck outside drove off with a big sign on the back reading ""[my home state]."" I told someone about it. "|0.0|1.0|0.0|0.0
18|#019 (10/12/63)|A patient named Holland appeared in the dream. We were in a house with a wooden floor. Some floor boards loosened and he fell through. |0.0|0.923|0.077|0.25
19|#020 (10/15/63)|There was a fire out of control in a building near the smokestack. |0.167|0.833|0.0|-0.34
20|#021 (10/18/63)|I was in a room where nude couples were romancing under blankets. |0.0|0.786|0.214|0.4588
21|#022 (10/20/63)|I was employed at a print shop and was on my lunch period. I passed stores, then hurried back to the shop. A girl was running a press. |0.0|1.0|0.0|0.0
22|#023 (10/22/63)|I was eating in a hospital dining room with other patients. I had made a mistake of some kind and had to correct it. |0.086|0.791|0.122|0.25
23|#024 (10/23/63)|A child was standing on a table. I ran my hand on its buttox. A woman came and wanted to be intimate with me and I did so. |0.0|0.894|0.106|0.4939
24|#025 (10/26/63)|I was in an amusement park. I wanted to go swimming in the gym, but I had to get my name on the member list. When I was allowed in the pool, it was being emptied. |0.054|0.899|0.046|-0.0772
25|#026 (10/31/63)|I was getting ready to take a boy on a trip to a quay. My mother was helping me. |0.0|0.783|0.217|0.5719
26|#027 (11/02/63)|There was an air raid outside the building. A patient on the ward named Farelle appeared and stared knowingly at me. (This patient often discussed emotional problems with me.) |0.086|0.863|0.051|-0.2732
27|#028 (11/03/63)|I was indoors. About 20 feet away, I saw President and Mrs. Kennedy standing and embracing. Mrs. Kennedy was facing me. The President's skin was white like a corpse, and he appeared rigid. |0.138|0.796|0.066|-0.4019
28|#029 (11/04/63)|"I was walking in a strange town. Some girls about ten greeted me. I told them that I love children. They started to walk away, and I told them, ""Don't be afraid of me. I don't want to hurt a child."" "|0.063|0.748|0.189|0.7937
29|#030 (11/05/63)|I was in a building preparing for a meal. I had to go up a spiral staircase to get food for the table. Later I was swimming in a pool. |0.0|1.0|0.0|0.0
30|#031 (11/08/63)|I owned an acre of land. Later I was greeted by some friendly girls about ten. I met my mother and sister. They went into a crowd down a stairway. A woman was standing behind me and I felt her body against my back. Then I felt something against my hips and had an orgasm. Then in my dream I awoke and was very troubled by the dream. Another dream followed in which I again awoke in my dream and was troubled: I left my mother and sister in a room where we had been sleeping. I watched some children were who lining up at a dressing room. (When I awoke in these dreams, I felt a remorse as though I had through indiscretion lost an opportunity for an illuminating experience.) |0.072|0.801|0.127|0.7275
31|#032 (11/09/63)|I was in a wood. Bandits were there. They were captured. I came to a village. A nun rode by on a motorcycle, and I recognized her as my aunt who is a nun. |0.0|1.0|0.0|0.0
32|#033 (11/15/63)|I was on a balcony in a dance hall. I saw a white man whom I recognized as a patient on the ward -- was dancing with a colored woman. She was wearing a cape which covered her legs. |0.0|1.0|0.0|0.0
33|#034 (11/25/63)|"I was in a house with my sister. A patient on the ward, named Ordel, appeared in the dream. My sister said, ""Look, I don't have my pants on."" Ordel said that something was not right with her. I told him it is just a regular female occurrence. "|0.0|0.959|0.041|0.25
34|#035 (11/28/63)|I was on the grounds of a hospital. I was a patient there. My mother advised me to telephone the attendant if I left the hospital without permission. I left the hospital grounds, and walked on a street. |0.0|1.0|0.0|0.0
35|#036 (12/01/63)|I was in a theater. The audience was downstairs, and the stage was on the balcony. Actors were performing up there. |0.0|1.0|0.0|0.0
36|#037 (12/04/63)|I was in a building talking with an attractive woman through a chain link fence. We felt an affection for each other. Later I saw a girdle with a funny shape. I was sitting outdoors on a chair. It started raining heavily, but the rain only touched me below my knees. I could not understand why I was not getting wet above my knees. |0.0|0.909|0.091|0.6249
37|#038 (12/11/63)|I went down a road and came to a place where I had gotten into trouble for bothering a child. I tried to avoid being seen. I felt remorse for what I had done. |0.242|0.758|0.0|-0.8225
38|#039 (12/14/63)|I was near a muddy road where cars were sinking and disappearing in the mud. |0.0|1.0|0.0|0.0
39|#040 (12/18/63)|I was undergoing an operation. |0.0|1.0|0.0|0.0
40|#041 (12/21/63)|I was a soldier. I was standing on a platform. I formed a companionable relationship with a girl about ten. |0.0|1.0|0.0|0.0
41|#042 (12/23/63)|I was seated in a restaurant. A woman nearby received a slip of paper from someone. The manager suspected that it contained a secret message, and he took her behind a glass partition and questioned her. |0.088|0.912|0.0|-0.3182
42|#043 (12/24/63)|I saw a bolt of lightning strike a building and go down the chimney flue. |0.097|0.903|0.0|-0.128
43|#044 (12/25/63)|I was among some patients in a hospital being moved to another ward. A patient named Mantley appeared and sat next to me. |0.0|1.0|0.0|0.0
44|#045 (12/26/63)|I was in a public place with my mother. I wiped myself and went by the door. |0.0|1.0|0.0|0.0
45|#046 (12/28/63)|I got lost on a hospital grounds where I was a patient, and I wandered off the grounds without permission. |0.108|0.892|0.0|-0.3182
46|#047 (12/29/63)|I was in a building that appeared to be an institution. I and other men were told to fill in some holes that were in the floor with furniture. I didn't think there was enough furniture to fill the holes and make the floor level and solid. Then a patient named Clew appeared in this dream. He wrote a poem about a shirt that I owned. The shirt had to be put into one of the holes in the floor. |0.0|0.953|0.047|0.431
47|#048 (12/30/63)|An attractive woman wanted to shave the hairs off my body. I would not let her. |0.0|0.838|0.162|0.4404
48|#049 (12/31/63)|There was a large water pipe. I had to fix a leak. There was a deep groove in the floor. |0.112|0.888|0.0|-0.34
49|#050 (01/01/64)|I was going on an errand, and I passed our former residence. I seemed to think the street was the one on which, in real life, we lived when we resided in my home state -- before moving to New York -- but the house was the one in which we lived when we moved to New York. The house across the street had been replaced by a large house, open on the first floor with bedrooms on a balcony on the two sides and the back, large windows and elaborate furnishings. A woman about 50 lived there. Our former house had been enlarged with dormers. I went back home. Our present house was the one which in real life we lived in before the one which in the dream was our former house. I told my mother what I had seen, and I told my sister. |0.0|0.983|0.017|0.3612
50|#051 (01/02/64)|A suspicious young woman was on an elevator. The manager called to her when the elevator was below the floor level. Later I was in a strange house with my mother. She was varnishing the floor. I passed by and she was annoyed at me. (When I awoke, there was urine on the bed sheet.) |0.117|0.883|0.0|-0.7096
51|#052 (01/03/64)|I was in a prison. Guards were around. There was a hole in a fence, and I started to crawl through, but I hesitated halfway through. I helped pass some dolls through the hole. Outside I met a woman and a girl about ten. I told the girl not to be afraid of me. |0.089|0.911|0.0|-0.6249
52|#053 (01/05/64)|I was in a building, and I saw a volcano erupting in the distance. |0.0|1.0|0.0|0.0
53|#054 (01/07/64)|I was traveling. I had to attend a meeting. |0.0|1.0|0.0|0.0
54|#055 (01/09/64)|An active dream which ended in my adjusting my body to an apparatus. (I awoke with my hand on my groin and I was having an orgasm.) |0.0|0.752|0.248|0.7845
55|#056 (01/10/64)|I was on a high place with my arms extended as though I were suffering an affliction. The patient on my ward named Farelle (with whom I had frequently discussed my emotional problems) was below with another man, looking up at me. |0.125|0.841|0.034|-0.6369
56|#057 (01/11/64)|There were tall buildings all around. |0.0|1.0|0.0|0.0
57|#058 (01/12/64)|I left the hospital without permission. |0.0|1.0|0.0|0.0
58|#059 (01/14/64)|I was trying to get released from a hospital. In order to get released, I had to complete a test paper on writing and get a form signed by a woman. |0.0|1.0|0.0|0.0
59|#060 (01/16/64)|I was walking down the street in a strange town. I saw a little girl about seven, and I had an uncomfortable feeling of nostalgia. And a horrible feeling that my future held nothing but desolation came upon me. |0.13|0.81|0.06|-0.4497
60|#061 (01/17/64)|I was leaving an amusement park with my mother and sister. I was raining and my mother's fur coat got soaked. She said she would get my sister's coat. |0.0|0.918|0.082|0.3612
61|#062 (01/18/64)|"A patient on the ward named Chitty was in this dream. He said that he is mature. I replied that no one is mature unless he is like the comic strip character called ""Superman."" (This patient was 19. He was released after several months there, and a month later killed a man in a robbery attempt. I spoke with him before his release.) "|0.09|0.77|0.14|0.3919
62|#063 (01/19/64)|I was to speak before a group. I memorized the words I wanted to say. |0.0|1.0|0.0|0.0
63|#064 (01/20/64)|I was with a man. We were in a basement of a building where men were locked in a room. He said they were dead. The building was very old. We went up the elevator. I commented that an elevator shaft is like the spine in a body, and that energy can ride up and down the spine like an elevator. |0.063|0.833|0.104|0.2023
64|#065 (01/21/64)|Two nuns were walking ahead of me on the street. |0.0|1.0|0.0|0.0
65|#066 (01/22/64)|I was embracing a little girl. Later I was in bed. A female nurse and my mother were there. I put some pins in my mouth. I felt one penetrate my thumb and I pulled it out. |0.0|1.0|0.0|0.0
66|#067 (01/23/64)|I was lying in the lower berth of a double deck bed. A woman with shapely hips was in the berth above me. I went close to her. She became angry and scolded me. I admired her spirit. |0.19|0.704|0.107|-0.5994
67|#068 (01/28/64)|There were people writing on other people's bellies. |0.0|1.0|0.0|0.0
68|#069 (01/30/64)|I was in a big house. Outside in the distance there was a light -- like a neon light. It went from the ground to about a mile high in a straight line. It was damaging the walls of the house I was in. |0.068|0.842|0.09|0.0258
69|#070 (02/01/64)|I was with two girls about ten. I touched one of them, and she glanced at the other girl with a questioning and a flirty expression. |0.052|0.889|0.059|0.0516
70|#071 (02/02/64)|I saw the Pope of Rome and another man dressed in bathing trunks and swimming at the beach. |0.0|1.0|0.0|0.0
71|#072 (02/03/64)|I was shopping at a large store. Later I was in a room that looked like a cave. There were Greek men there. Some man said the house was a Greek house. Then I saw my mother and sister. |0.0|0.938|0.062|0.3612
72|#073 (02/04/64)|There were buildings all around. A little girl was there. |0.0|1.0|0.0|0.0
73|#074 (02/05/64)|There was a mother and her daughter walking with me. I felt a desire to make friends with them. The sky was overcast with dark clouds. |0.0|0.805|0.195|0.7003
74|#075 (02/06/64)|I had put a partition about 8 feet high and 4 feet wide next to a sink. I noticed that it had been removed. I found it and put it back. |0.0|1.0|0.0|0.0
75|#076 (02/07/64)|I was on the porch of the house we last lived in before we left my home state. I was home from the hospital. I was wearing some hospital clothing. A woman next door came out, but we were not on speaking terms. Then the man who lives next door to my home in Plainview came out and we talked about the plants in the garden and the small lizards that stayed there. |0.0|1.0|0.0|0.0
76|#077 (02/08/64)|I was in a room. I went into a corner. A dog jumped at me. I moved back and collided with a man who was undressed. When I saw him I jumped away. I played with the dog's nose. It reminded me of the male genitals I had seen on the man. I made a resolution to resist temptations to masturbate. |0.0|0.962|0.038|0.34
77|#078 (02/09/64)|I was in a hospital. I was given a private room to sleep in. A patient on the ward named Bravender was in the room across the hall. |0.0|1.0|0.0|0.0
78|#079 (02/10/64)|I left a mental hospital without permission. |0.0|1.0|0.0|0.0
79|#080 (02/11/64)|I was in an old historic town. There were taverns and general stores there. They had been used by rough pioneers and woodsmen. |0.0|1.0|0.0|0.0
80|#081 (02/12/64)|I lived in a flat with a courtyard behind it. It was Spring, and the grass needed reseeding. Some dried up flowers from the last summer were there. I found some seeds, but when I tried to rake the ground, I found pavement a few inches under the layer of ground. |0.0|1.0|0.0|0.0
81|#082 (02/13/64)|I was with my mother taking a wagon full of clothing home. |0.0|1.0|0.0|0.0
82|#083 (02/14/64)|There was a snowfall. Someone stole the trees from our yard. I went to look for the thief. |0.167|0.833|0.0|-0.5267
83|#084 (02/15/64)|There was a my home state bear nearby. My mother boasted that the my home state bear could get the better of a bear from any other state. I saw an old house where the river used to flow. |0.0|0.929|0.071|0.4404
84|#085 (02/16/64)|I was riding an elevated train. An officer on the ward was standing below. (His name is Mr. Goody.) He made me think of the ox and the dragon, Chinese symbols for the signs of the Zodiac named Taurus and Leo. |0.0|1.0|0.0|0.0
85|#086 (02/17/64)|I was running for a subway with my sister. She caught it, but I did not. I decided to run to the next station. After going several blocks, I discovered that I had turned left where I should have turned right. I was on a deserted street and I felt very lonely. |0.108|0.892|0.0|-0.7218
86|#087 (02/18/64)|I was with my mother in a big house with an outsized fireplace. My mother was papering the walls. She needed something and I went to get it. She did not like something I did. |0.058|0.942|0.0|-0.2755
87|#088 (02/19/64)|A patient named Luciago tried to persuade me to have a sex affair with him. I told him that I am heterosexual. |0.0|1.0|0.0|0.0
88|#089 (02/20/64)|A boiler was about to explode in the basement of a building. A man warned the guards there, but they wouldn't listen to him. |0.063|0.937|0.0|-0.1406
89|#090 (02/21/64)|I left my motorcycle outside and went into a building. Children were there. A little girl wanted me to hug her. When I went outside, my motorcycle was gone. |0.0|0.9|0.1|0.4767
90|#091 (02/22/64)|I awoke to find I had been sleeping next to a dead man. I went to another part of the house and when I returned, the body was gone. A strong man about 40 came and asked another man where the body was. The man said he put it on the sand pile. I was worried that I would get into trouble with the police if the body was found. I had recently gotten into trouble with the police. |0.133|0.83|0.037|-0.8225
91|#092 (02/23/64)|I was riding a cable car over a flooded area. I passed a patient named Dumbler going the opposite direction. |0.0|1.0|0.0|0.0
