diary,count,mean,std,min,25%,50%,75%,max
1,422.0,0.05129383886255924,0.031846706910567804,0.0,0.031,0.046,0.06675,0.264
2,48.0,0.053437500000000006,0.028005247418630738,0.0,0.03175,0.0515,0.07925,0.114
3,212.0,0.06589150943396227,0.05475773895041683,0.0,0.029,0.058,0.095,0.269
4,3114.0,0.07048651252408478,0.06511542528611372,0.0,0.031,0.058,0.093,0.737
5,1138.0,0.0692372583479789,0.06115213046903939,0.0,0.029,0.056,0.09375,0.608
6,250.0,0.06681200000000001,0.04339461980605948,0.0,0.03625,0.059,0.093,0.244
7,234.0,0.07546153846153847,0.05940578987425679,0.0,0.029500000000000002,0.063,0.11,0.322
8,154.0,0.08533116883116884,0.0565885338156876,0.0,0.04925,0.0795,0.118,0.275
9,223.0,0.06493273542600897,0.054353530390464644,0.0,0.0245,0.057,0.0975,0.328
10,63.0,0.07914285714285715,0.059363792903032245,0.0,0.038,0.07,0.1115,0.298
11,238.0,0.037092436974789915,0.04284334955144323,0.0,0.0,0.026,0.05475,0.289
12,143.0,0.04653146853146853,0.051932486534801925,0.0,0.0,0.032,0.066,0.258
13,100.0,0.05224000000000001,0.03946283765209435,0.0,0.022,0.0485,0.0765,0.157
14,75.0,0.04271999999999999,0.03416990931657125,0.0,0.02,0.039,0.056,0.208
15,159.0,0.05484276729559749,0.04889390925170394,0.0,0.0175,0.047,0.0815,0.355
16,160.0,0.05065625,0.04614906758190511,0.0,0.01275,0.041,0.07825,0.198
17,681.0,0.06695741556534508,0.0462174808577911,0.0,0.036,0.058,0.089,0.299
18,24.0,0.03875,0.03863007388933721,0.0,0.011,0.023,0.0565,0.143
19,166.0,0.06660843373493976,0.0516866753940464,0.0,0.033,0.059,0.09375,0.252
20,6094.0,0.1374337052838858,0.07868026686981004,0.0,0.088,0.139,0.187,0.597
21,900.0,0.046325555555555564,0.0555213495721394,0.0,0.0,0.033,0.067,0.35
22,143.0,0.08748951048951051,0.06621027824691073,0.0,0.034,0.072,0.1205,0.309
23,19.0,0.051000000000000004,0.03962602960456955,0.0,0.032,0.045,0.058499999999999996,0.154
24,1707.0,0.03997949619214997,0.046491098130429516,0.0,0.006500000000000001,0.033,0.054,0.61
25,72.0,0.053111111111111116,0.041997838829559764,0.0,0.0265,0.048,0.07025,0.239
26,1221.0,0.05750696150696152,0.05970926274921735,0.0,0.0,0.047,0.085,0.4
27,110.0,0.07900909090909092,0.07537703340078851,0.0,0.02125,0.0655,0.11025,0.439
28,397.0,0.10987153652392948,0.08201564965782293,0.0,0.054,0.104,0.155,0.438
29,140.0,0.09674285714285714,0.07637566860177351,0.0,0.042749999999999996,0.0835,0.14,0.369
30,490.0,0.05573673469387755,0.04768641257555654,0.0,0.021,0.045,0.077,0.242
31,491.0,0.057757637474541754,0.048750387939000044,0.0,0.0225,0.048,0.081,0.285
32,4328.0,0.05599630314232903,0.052288315442255665,0.0,0.015,0.048,0.081,0.428
33,4351.0,0.05610802114456447,0.05237264186678212,0.0,0.015,0.048,0.081,0.428
34,52.0,0.06309615384615384,0.06196465140814342,0.0,0.0,0.0505,0.09825,0.271
35,167.0,0.08223952095808383,0.07719473182449618,0.0,0.025,0.069,0.118,0.428
36,249.0,0.06797188755020081,0.0610170125408206,0.0,0.023,0.056,0.101,0.287
37,539.0,0.04758441558441558,0.06054269606350032,0.0,0.0,0.031,0.074,0.354
38,845.0,0.05234319526627219,0.05838691091807673,0.0,0.0,0.038,0.082,0.36
39,741.0,0.05226855600539811,0.0489223813998356,0.0,0.014,0.045,0.075,0.373
40,1359.0,0.05673436350257543,0.04141119911086882,0.0,0.028,0.052,0.078,0.273
41,376.0,0.060375,0.03836012252326627,0.0,0.033,0.058,0.08225,0.203
42,23.0,0.07713043478260871,0.06433456892599251,0.0,0.0305,0.066,0.097,0.235
43,625.0,0.0318544,0.02210608710693702,0.0,0.015,0.028,0.044,0.122
44,664.0,0.03159036144578313,0.022429261293269765,0.0,0.015,0.028,0.044,0.122
45,39.0,0.02735897435897436,0.027076390161606397,0.0,0.0,0.026,0.040499999999999994,0.095
46,268.0,0.031436567164179106,0.02322967249126969,0.0,0.014,0.028,0.046,0.122
47,261.0,0.03199616858237548,0.022156523277024238,0.0,0.016,0.027,0.044,0.108
48,96.0,0.03263541666666667,0.018668927063955718,0.0,0.019,0.034,0.043,0.087
49,87.0,0.04448275862068966,0.0321883490654202,0.0,0.022,0.039,0.0565,0.168
50,42.0,0.07202380952380953,0.05177554187406519,0.0,0.043,0.067,0.09575,0.255
51,2021.0,0.05058090054428501,0.04896074413970208,0.0,0.016,0.04,0.072,0.353
52,206.0,0.06630097087378642,0.05222602564957788,0.0,0.0285,0.056,0.092,0.263
53,38.0,0.052973684210526326,0.03697733918343465,0.0,0.028,0.051500000000000004,0.0795,0.136
54,98.0,0.052510204081632664,0.04781800655060168,0.0,0.008,0.0415,0.0875,0.163
55,186.0,0.056344086021505375,0.05518509289970723,0.0,0.01175,0.043,0.08775,0.277
56,348.0,0.05511781609195403,0.059039189093508956,0.0,0.0,0.044,0.08025,0.359
57,294.0,0.05139115646258503,0.05208125762620997,0.0,0.01425,0.0435,0.072,0.314
58,23.0,0.07921739130434782,0.10825473179737566,0.0,0.0,0.034,0.133,0.434
59,89.0,0.039921348314606746,0.043370555763701,0.0,0.0,0.031,0.058,0.195
60,209.0,0.04854066985645933,0.03261797406709133,0.0,0.026,0.044,0.062,0.178
61,128.0,0.054859375,0.03556268378998493,0.0,0.032,0.049,0.06925,0.203
62,315.0,0.057736507936507926,0.03468654588559753,0.0,0.035,0.054,0.0755,0.257
63,171.0,0.053596491228070184,0.04602653696796184,0.0,0.0215,0.041,0.0735,0.205
64,274.0,0.03689416058394161,0.029324378252837863,0.0,0.01425,0.033,0.05275,0.148
65,111.0,0.06573873873873874,0.06409434973135827,0.0,0.0225,0.05,0.095,0.309
66,83.0,0.053301204819277116,0.07402944946961723,0.0,0.0,0.03,0.07150000000000001,0.358
67,44.0,0.06997727272727274,0.05345003693359771,0.0,0.019,0.068,0.105,0.161
68,234.0,0.04340598290598291,0.04625718511054945,0.0,0.0,0.037,0.062,0.322
69,1235.0,0.04902914979757085,0.06666225711744946,0.0,0.0,0.0,0.085,0.362
70,1093.0,0.0392708142726441,0.04324343138600343,0.0,0.0,0.031,0.058,0.387
71,384.0,0.055468750000000004,0.05601281150075686,0.0,0.00775,0.044,0.081,0.317
72,382.0,0.052693717277486916,0.05084904231920942,0.0,0.013,0.043,0.07775,0.251
73,106.0,0.04463207547169811,0.03964589103111939,0.0,0.01525,0.04,0.0645,0.241
74,220.0,0.052577272727272736,0.040639167644846264,0.0,0.02575,0.0475,0.072,0.257
75,180.0,0.05412777777777777,0.04423098721112848,0.0,0.02475,0.046,0.077,0.214
76,86.0,0.06491860465116278,0.057367794842480384,0.0,0.022,0.0475,0.0975,0.299
77,226.0,0.05661946902654867,0.05071590915575301,0.0,0.01325,0.048,0.09075,0.233
78,16.0,0.052687500000000005,0.0427749439898328,0.0,0.014,0.049,0.09225,0.145
79,53.0,0.05788679245283018,0.057970038805655225,0.0,0.0,0.048,0.093,0.279
80,249.0,0.06289156626506025,0.05238890212327496,0.0,0.025,0.054,0.088,0.288
81,63.0,0.06255555555555556,0.04413716807561136,0.0,0.0375,0.057,0.0775,0.215
82,69.0,0.05733333333333333,0.04758665985419056,0.0,0.022,0.04,0.083,0.222
83,164.0,0.07028658536585365,0.06320467922065032,0.0,0.0275,0.059,0.099,0.35
84,135.0,0.05831111111111111,0.05085367752103022,0.0,0.0,0.054,0.092,0.21
85,33.0,0.05906060606060606,0.0345678132389252,0.014,0.029,0.056,0.082,0.17
86,27.0,0.0771111111111111,0.06672868909785318,0.0,0.0275,0.068,0.1055,0.264
87,81.0,0.06212345679012346,0.04950539938129209,0.0,0.03,0.049,0.088,0.192
88,192.0,0.06825000000000002,0.04674067927915083,0.0,0.035,0.0615,0.09525,0.275
89,35.0,0.05151428571428572,0.05309556945544816,0.0,0.0055,0.03,0.0835,0.167
90,98.0,0.11866326530612246,0.06413740788540478,0.0,0.07125,0.1135,0.148,0.342
91,32.0,0.0691875,0.04454967325465782,0.0,0.031,0.064,0.10625,0.16
92,463.0,0.0699416846652268,0.05357952025008579,0.0,0.0315,0.062,0.0955,0.366
93,65.0,0.04953846153846154,0.05092490700871386,0.0,0.015,0.041,0.06,0.304
94,89.0,0.06139325842696629,0.052487794680271774,0.0,0.02,0.05,0.092,0.224
